ReferenceOrder,OperationID,Phase,OperationType,Bank,Register,CurrentBaselineClass,CurrentBaselineValue,TargetValue,TargetMask,DifferentialClass,IncludedInMinimum,LaterOverrideOrder,Rationale
137,REF-137,AHD1080P25,WRITE,0x05,0x20,KNOWN_FINAL_VALUE,0x84,0x90,0xFF,FINAL_STATE_DELTA,YES,137,final target byte differs or current v41 does not write the register
138,REF-138,AHD1080P25,WRITE,0x05,0x24,KNOWN_FINAL_VALUE,0x10,0x10,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,138,final whole-byte state already equals the target
139,REF-139,AHD1080P25,WRITE,0x05,0x25,KNOWN_FINAL_VALUE,0xCA,0xDC,0xFF,FINAL_STATE_DELTA,YES,139,final target byte differs or current v41 does not write the register
140,REF-140,AHD1080P25,WRITE,0x05,0x26,KNOWN_FINAL_VALUE,0x30,0xF0,0xFF,FINAL_STATE_DELTA,YES,140,final target byte differs or current v41 does not write the register
141,REF-141,AHD1080P25,WRITE,0x05,0x29,KNOWN_FINAL_VALUE,0x30,0x00,0xFF,FINAL_STATE_DELTA,YES,141,final target byte differs or current v41 does not write the register
142,REF-142,AHD1080P25,WRITE,0x05,0x2A,KNOWN_FINAL_VALUE,0x30,0x52,0xFF,FINAL_STATE_DELTA,YES,142,final target byte differs or current v41 does not write the register
143,REF-143,AHD1080P25,WRITE,0x05,0x58,KNOWN_FINAL_VALUE,0x00,0x03,0xFF,FINAL_STATE_DELTA,YES,143,final target byte differs or current v41 does not write the register
144,REF-144,AHD1080P25,WRITE,0x05,0x5F,KNOWN_FINAL_VALUE,0x70,0x00,0xFF,FINAL_STATE_DELTA,YES,144,final target byte differs or current v41 does not write the register
145,REF-145,AHD1080P25,WRITE,0x05,0x75,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,0x00,0xFF,FINAL_STATE_DELTA,YES,145,final target byte differs or current v41 does not write the register
146,REF-146,AHD1080P25,WRITE,0x05,0x84,KNOWN_FINAL_VALUE,0x00,0x01,0xFF,FINAL_STATE_DELTA,YES,146,final target byte differs or current v41 does not write the register
147,REF-147,AHD1080P25,WRITE,0x05,0x86,KNOWN_FINAL_VALUE,0x00,0x20,0xFF,FINAL_STATE_DELTA,YES,147,final target byte differs or current v41 does not write the register
148,REF-148,AHD1080P25,WRITE,0x05,0x90,KNOWN_FINAL_VALUE,0x0D,0x01,0xFF,FINAL_STATE_DELTA,YES,148,final target byte differs or current v41 does not write the register
149,REF-149,AHD1080P25,WRITE,0x05,0x9B,KNOWN_FINAL_VALUE,0x80,0x80,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,149,final whole-byte state already equals the target
150,REF-150,AHD1080P25,WRITE,0x05,0xB5,KNOWN_FINAL_VALUE,0x00,0x00,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,150,final whole-byte state already equals the target
151,REF-151,AHD1080P25,WRITE,0x05,0xB7,KNOWN_FINAL_VALUE,0xFF,0xFF,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,151,final whole-byte state already equals the target
152,REF-152,AHD1080P25,WRITE,0x05,0xB8,KNOWN_FINAL_VALUE,0xB8,0x38,0xFF,FINAL_STATE_DELTA,YES,152,final target byte differs or current v41 does not write the register
153,REF-153,AHD1080P25,WRITE,0x05,0xBB,KNOWN_FINAL_VALUE,0xB8,0x04,0xFF,FINAL_STATE_DELTA,YES,153,final target byte differs or current v41 does not write the register
154,REF-154,AHD1080P25,WRITE,0x05,0xD1,KNOWN_FINAL_VALUE,0x20,0x20,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,154,final whole-byte state already equals the target
155,REF-155,AHD1080P25,BANK_SELECT,0x05,0xFF,N/A,N/A,0x09,N/A,NO_OP_AGAINST_CURRENT_BASELINE,NO,,no retained operation depends on this bank selection
156,REF-156,AHD1080P25,WRITE,0x09,0x50,KNOWN_FINAL_VALUE,0xAB,0xAB,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,156,final whole-byte state already equals the target
157,REF-157,AHD1080P25,WRITE,0x09,0x51,KNOWN_FINAL_VALUE,0x7D,0x7D,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,157,final whole-byte state already equals the target
158,REF-158,AHD1080P25,WRITE,0x09,0x52,KNOWN_FINAL_VALUE,0xC3,0xC3,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,158,final whole-byte state already equals the target
159,REF-159,AHD1080P25,WRITE,0x09,0x53,KNOWN_FINAL_VALUE,0x52,0x52,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,159,final whole-byte state already equals the target
160,REF-160,STATE,STATE_ASSIGN,0x09,ch_mode_status[CH_LOCAL],N/A,N/A,NVP6134_VI_1080P_2530,N/A,SOFTWARE_STATE_ONLY,NO,,executor session bookkeeping is not an NVP register action
161,REF-161,STATE,STATE_ASSIGN,0x09,ch_vfmt_status[CH_LOCAL],N/A,N/A,0x01,N/A,SOFTWARE_STATE_ONLY,NO,,executor session bookkeeping is not an NVP register action
162,REF-162,ACP_COMMON,BANK_SELECT,0x09,0xFF,N/A,N/A,0x01,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
163,REF-163,ACP_COMMON,WRITE,0x01,0xA8,N/A,N/A,0x01,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
164,REF-164,ACP_COMMON,WRITE,0x01,0xBC,N/A,N/A,0x07,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
165,REF-165,ACP_COMMON,BANK_SELECT,0x01,0xFF,N/A,N/A,0x05,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
166,REF-166,ACP_COMMON,WRITE,0x05,0x2F,N/A,N/A,0x00,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
167,REF-167,ACP_COMMON,WRITE,0x05,0x30,N/A,N/A,0x00,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
168,REF-168,ACP_COMMON,WRITE,0x05,0x31,N/A,N/A,0x43,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
169,REF-169,ACP_COMMON,WRITE,0x05,0x32,N/A,N/A,0xA2,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
170,REF-170,ACP_COMMON,WRITE,0x05,0x7C,N/A,N/A,0x11,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
171,REF-171,ACP_COMMON,WRITE,0x05,0x7D,N/A,N/A,0x80,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
172,REF-172,ACP_BAUD,BANK_SELECT,0x05,0xFF,N/A,N/A,0x05,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
173,REF-173,ACP_BAUD,WRITE,0x05,0x7C,N/A,N/A,0x11,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
174,REF-174,ACP_BAUD,BANK_SELECT,0x05,0xFF,N/A,N/A,0x03,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
175,REF-175,ACP_BAUD,WRITE,0x03,0x00,N/A,N/A,0x27,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
176,REF-176,ACP_BAUD,WRITE,0x03,0x03,N/A,N/A,0x0E,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
177,REF-177,ACP_BAUD,WRITE,0x03,0x0D,N/A,N/A,0xB4,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
178,REF-178,ACP_BAUD,WRITE,0x03,0x0E,N/A,N/A,0x00,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
179,REF-179,ACP_BAUD,WRITE,0x03,0x05,N/A,N/A,0x03,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
180,REF-180,ACP_BAUD,WRITE,0x03,0x0A,N/A,N/A,0x03,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
181,REF-181,ACP_BAUD,WRITE,0x03,0x0B,N/A,N/A,0x10,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
182,REF-182,ACP_BAUD,WRITE,0x03,0x2F,N/A,N/A,0x00,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
183,REF-183,ACP_RX,BANK_SELECT,0x03,0xFF,N/A,N/A,0x03,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
184,REF-184,ACP_RX,WRITE,0x03,0x60,N/A,N/A,0x55,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
185,REF-185,ACP_RX,WRITE,0x03,0x0B,N/A,N/A,0x10,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
186,REF-186,ACP_RX,WRITE,0x03,0x66,N/A,N/A,0x80,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
187,REF-187,ACP_RX,WRITE,0x03,0x62,N/A,N/A,0x06,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
188,REF-188,ACP_RX,WRITE,0x03,0x68,N/A,N/A,0x70,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
189,REF-189,ACP_RX,WRITE,0x03,0x63,N/A,N/A,0x01,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
190,REF-190,ACP_RX,WRITE,0x03,0x64,N/A,N/A,0x00,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
191,REF-191,ACP_RX,WRITE,0x03,0x67,N/A,N/A,0x01,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
192,REF-192,ACP_RX_CLEAR,BANK_SELECT,0x03,0xFF,N/A,N/A,0x03,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
193,REF-193,ACP_RX_CLEAR,WRITE,0x03,0x3A,KNOWN_FINAL_VALUE,0x00,0x01,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
194,REF-194,ACP_RX_CLEAR,DELAY,0x03,N/A,N/A,N/A,N/A,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
195,REF-195,ACP_RX_CLEAR,WRITE,0x03,0x3A,KNOWN_FINAL_VALUE,0x00,0x00,0xFF,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
196,REF-196,ACP_RX_CLEAR,DELAY,0x03,N/A,N/A,N/A,N/A,N/A,OPTIONAL_ACP,NO,,"datasheet defines ACP as coax camera-control signaling, not video reception"
197,REF-197,EQ_INIT,BANK_SELECT,0x03,0xFF,N/A,N/A,0x05,N/A,NO_OP_AGAINST_CURRENT_BASELINE,NO,,no retained operation depends on this bank selection
198,REF-198,EQ_INIT,WRITE,0x05,0x59,KNOWN_FINAL_VALUE,0x00,0x11,0xFF,FINAL_STATE_DELTA,YES,198,final target byte differs or current v41 does not write the register
199,REF-199,EQ_INIT,BANK_SELECT,0x05,0xFF,N/A,N/A,0x05,N/A,NO_OP_AGAINST_CURRENT_BASELINE,NO,,no retained operation depends on this bank selection
200,REF-200,EQ_INIT,WRITE,0x05,0xC0,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,0x17,0xFF,FINAL_STATE_DELTA,YES,200,final target byte differs or current v41 does not write the register
201,REF-201,EQ_INIT,WRITE,0x05,0xC1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,0x13,0xFF,FINAL_STATE_DELTA,YES,201,final target byte differs or current v41 does not write the register
202,REF-202,EQ_INIT,WRITE,0x05,0xC8,KNOWN_FINAL_VALUE,0x04,0x04,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,202,final whole-byte state already equals the target
203,REF-203,EQ_INIT,BANK_SELECT,0x05,0xFF,N/A,N/A,0x0A,N/A,NO_OP_AGAINST_CURRENT_BASELINE,NO,,no retained operation depends on this bank selection
204,REF-204,EQ_INIT,WRITE,0x0A,0x74,KNOWN_FINAL_VALUE,0x02,0x02,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,204,final whole-byte state already equals the target
205,REF-205,EQ_INIT,STATE_ASSIGN,0x0A,s_eq.ch_stage[CH_LOCAL],N/A,N/A,0x00,N/A,SOFTWARE_STATE_ONLY,NO,,executor session bookkeeping is not an NVP register action
206,REF-206,POST_MODE,BANK_SELECT,0x0A,0xFF,N/A,N/A,0x09,N/A,REQUIRED_SEQUENCE_REWRITE,YES,,enters the atomic bank group containing a retained operation
207,REF-207,POST_MODE,WRITE,0x09,0x40,KNOWN_FINAL_VALUE,0x00,0x61,0xFF,REQUIRED_WRITE_PULSE,YES,209,pinned semantic sequence asserts and releases 0x61 with a fixed 35 ms dwell
208,REF-208,POST_MODE,DELAY,0x09,N/A,N/A,N/A,N/A,N/A,REQUIRED_DELAY,YES,,protects the proven Bank9/0x40 0x61-to-0x00 re-arm sequence
209,REF-209,POST_MODE,WRITE,0x09,0x40,KNOWN_FINAL_VALUE,0x00,0x00,0xFF,REQUIRED_WRITE_PULSE,YES,209,pinned semantic sequence asserts and releases 0x61 with a fixed 35 ms dwell
210,REF-210,POST_MODE,BANK_SELECT,0x09,0xFF,N/A,N/A,0x00,N/A,NO_OP_AGAINST_CURRENT_BASELINE,NO,,no retained operation depends on this bank selection
211,REF-211,POST_MODE,WRITE,0x00,0x00,KNOWN_FINAL_VALUE,0x00,0x00,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,211,final whole-byte state already equals the target
