Rule,Severity,Clock_Pair,Exception,Source,Destination,Classification,Semantic_Family,Result,Evidence,Change
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_lifetime_dropped_reg[25]/CE,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_lifetime_dropped_reg[26]/CE,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_lifetime_dropped_reg[27]/CE,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_lifetime_dropped_reg[28]/CE,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_lifetime_dropped_reg[29]/CE,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_lifetime_dropped_reg[30]/CE,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_lifetime_dropped_reg[31]/CE,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_overflow_deferred_reg/R,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_overflow_event_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_ownership_clear_pending_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C,G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,RELEASE_SLOT,PASS,Groups 14–17 56-cell slot payload sets and three semantic families; exact routed PASS; META-6/META-7R structural invariant authority,REVIEWED_REPRESENTATIVE_CHANGE
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_hard_hold_axi_reg/C,G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/R,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C,G2B_ONECH_C2H/source_ownership_fatal_event_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,RELEASE_SLOT,PASS,Groups 14–17 56-cell slot payload sets and three semantic families; exact routed PASS; META-6/META-7R structural invariant authority,REVIEWED_REPRESENTATIVE_CHANGE
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/release_generation_axi_reg[0][3]/C,G2B_ONECH_C2H/source_ownership_fatal_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,RELEASE_SLOT,PASS,Groups 14–17 56-cell slot payload sets and three semantic families; exact routed PASS; META-6/META-7R structural invariant authority,REVIEWED_REPRESENTATIVE_CHANGE
CDC-3,Info,userclk1->nvp_vclk1,False Path,G2B_ONECH_C2H/stats_req_toggle_axi_reg/C,G2B_ONECH_C2H/stats_req_sync1_source_reg/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,G2B_ONECH_C2H/transport_ack_toggle_source_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-3,Info,userclk1->nvp_vclk1,False Path,G2B_ONECH_C2H/transport_req_toggle_axi_reg/C,G2B_ONECH_C2H/transport_req_sync1_source_reg/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-1,Critical,userclk1->nvp_vclk1,Max Delay Datapath Only,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,G2B_ONECH_C2H/transport_retire_pending_source_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,TRANSPORT_RESET_MAILBOX,PASS,Group 8 preserved PASS; retained 2.500 ns settling bound and transport request/ack barrier,EXACT_PRIOR_ROW
CDC-9,Info,userclk1->nvp_vclk1,False Path,nvp_reset_frontend_autonomous_reg/C,NVP_PHYSICAL_FRONTEND/ingress_reset_sync_reg[0]/PRE,ASYNC_ASSERT_SYNC_RELEASE_RESET,RESET_SYNCHRONIZER,PASS,Exact unchanged reset row with depth 2 ASYNC_REG; vendor/reset synchronizer chain,EXACT_PRIOR_ROW
CDC-9,Info,userclk1->nvp_vclk1,False Path,nvp_reset_ready_autonomous_reg/C,nvp_ready_sync_reg[0]/CLR,ASYNC_ASSERT_SYNC_RELEASE_RESET,RESET_SYNCHRONIZER,PASS,Exact unchanged reset row with depth 2 ASYNC_REG; vendor/reset synchronizer chain,EXACT_PRIOR_ROW
CDC-3,Info,clk_125mhz_mux_x0y0->userclk1,False Path,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pcie_top_i/pcie_7x_i/pcie_block_i/PIPECLK,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/phy_lnk_up_cdc/syncstages_ff_reg[0]/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-3,Info,clk_125mhz_mux_x0y0->userclk1,False Path,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pcie_top_i/pcie_7x_i/pcie_block_i/PIPECLK,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pl_received_hot_rst_cdc/syncstages_ff_reg[0]/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-3,Info,clk_250mhz_mux_x0y0->userclk1,False Path,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pcie_top_i/pcie_7x_i/pcie_block_i/PIPECLK,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/phy_lnk_up_cdc/syncstages_ff_reg[0]/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-3,Info,clk_250mhz_mux_x0y0->userclk1,False Path,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pcie_top_i/pcie_7x_i/pcie_block_i/PIPECLK,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pl_received_hot_rst_cdc/syncstages_ff_reg[0]/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-6,Warning,nvp_vclk1->userclk1,False Path,CAPTURE_SUBSYSTEM/BAR_TARGET/commit_toggle_prod_reg[1:0]/C,CAPTURE_SUBSYSTEM/BAR_TARGET/commit_sync1_reg[1:0]/D,TOGGLE_HANDSHAKE,MULTIBIT_CDC,PASS,Unchanged exact CDC-6 row; independent per-slot toggle bits are synchronized independently and consumed by per-slot state,EXACT_PRIOR_ROW
CDC-3,Info,nvp_vclk1->userclk1,False Path,CAPTURE_SUBSYSTEM/MAILBOX/cfg_req_seen_nvp_reg/C,CAPTURE_SUBSYSTEM/MAILBOX/cfg_ack_sync1_pcie_reg/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[0]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[0]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[2]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[2]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[3]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[3]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[4]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[4]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[5]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[5]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[6]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[6]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[7]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[7]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[8]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[8]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[9]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[9]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[10]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[10]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[11]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[11]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[12]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[12]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[13]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[13]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[14]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[14]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[15]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[15]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[16]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[16]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[17]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[17]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[18]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[18]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[19]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[19]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[20]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[20]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[21]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[21]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[22]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[22]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[23]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[23]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[24]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[24]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[25]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[25]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[26]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[26]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[27]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[27]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[28]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[28]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[29]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[29]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[30]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[30]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[31]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[31]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[32]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[32]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[33]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[33]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[34]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[34]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[35]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[35]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[36]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[36]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[37]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[37]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
CDC-15,Warning,nvp_vclk1->userclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/status_hold_nvp_reg[38]/C,CAPTURE_SUBSYSTEM/MAILBOX/status_bus_pcie_reg[38]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,STATUS_MAILBOX,PASS,Group 2 preserved routed skew; capture_mailbox acknowledged status snapshot,EXACT_PRIOR_ROW
