Group,Bank,Register,ChannelScope,Meaning,ReadSafe,ReadSideEffect,WriteUsedByReference,NVP6134CDataSheetPage,NVP6134DataSheetPage,ReferenceFile,ReferenceFunction,CurrentV41Use,HardwareConfirmed,AuthorityClass,Confidence,SCAN1Disposition,InterpretationUnresolved
G4,0x07,0xF2,CH3,format conversion auxiliary,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xF3,CH3,special-format discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xF4,CH3,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xF5,CH3,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xE2,CH3,ACC gain high byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xE3,CH3,ACC gain low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xE8,CH3,Y-plus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xE9,CH3,Y-plus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xEA,CH3,Y-minus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G4,0x07,0xEB,CH3,Y-minus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xF0,CH4,raw video-format classifier,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,88,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G5,0x08,0xF2,CH4,format conversion auxiliary,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xF3,CH4,special-format discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xF4,CH4,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xF5,CH4,special-format vertical-count discriminator,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xE2,CH4,ACC gain high byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xE3,CH4,ACC gain low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xE8,CH4,Y-plus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xE9,CH4,Y-plus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xEA,CH4,Y-minus slope high bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G5,0x08,0xEB,CH4,Y-minus slope low byte,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,not public,corresponding Rev0.3 register table or private driver semantic,video.c/eq_common.c,video_fmt_det/metric helpers,NONE,NO,REFERENCE_DRIVER_SEMANTICS,MEDIUM_READ_BEHAVIOR_LOW_NVP6134C_FIELD_MEANING,INCLUDE_READ_ONLY_INTERPRETATION_UNRESOLVED,YES
G0-POST,0x00,0xA8,ALL_CH_BITS,NOVID post-bookend,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;63,corresponding Rev0.3 register table or private driver semantic,video.c,nvp6134_getvideoloss,DIAG1_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
